日期,SPU ID,展现数,点击数,点击率(%),花费,千次展现成本,平均点击成本,投产比,转化率(%),总订单金额
20260922,10025384408132,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10033701407346,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10028316038057,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384421318,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10028469365760,110,3,2.73,2.49,22.64,0.83,0.00,0.00,0.00
20260922,10026091802665,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384420542,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10028005403878,6,1,16.67,0.15,25.00,0.15,0.00,0.00,0.00
20260922,10028007135350,12803,411,3.21,633.10,49.45,1.54,2.32,0.73,1468.00
20260922,10025397788065,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10033906641138,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384421033,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384403348,10,1,10.00,0.58,58.00,0.58,0.00,0.00,0.00
20260922,10028317202774,27,1,3.70,0.16,5.93,0.16,0.00,0.00,0.00
20260922,10025384377809,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10026465128258,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384385799,38,3,7.89,0.54,14.21,0.18,0.00,0.00,0.00
20260922,10025384393780,525,8,1.52,19.04,36.27,2.38,0.00,0.00,0.00
20260922,10025384408749,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10029128476645,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384392464,11,3,27.27,3.42,310.91,1.14,0.00,0.00,0.00
20260922,10028133190363,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384408251,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384403760,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384397980,7,1,14.29,0.10,14.29,0.10,0.00,0.00,0.00
20260922,10026527524610,53,3,5.66,3.00,56.60,1.00,0.00,0.00,0.00
20260922,10034365091854,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384418938,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260922,10025384398866,62,2,3.23,0.26,4.19,0.13,0.00,0.00,0.00
